pair_no,side,corrected_file,source_file,source_time
01,on,duzeltilmis_resimler/urun-01-on.jpg,WhatsApp Image 2026-04-26 at 12.59.30 AM.jpeg,2026-04-26 00:59:30
01,arka,duzeltilmis_resimler/urun-01-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.34 AM.jpeg,2026-04-26 00:59:34
02,on,duzeltilmis_resimler/urun-02-on.jpg,WhatsApp Image 2026-04-26 at 12.59.37 AM.jpeg,2026-04-26 00:59:37
02,arka,duzeltilmis_resimler/urun-02-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.39 AM.jpeg,2026-04-26 00:59:39
03,on,duzeltilmis_resimler/urun-03-on.jpg,WhatsApp Image 2026-04-26 at 12.59.41 AM.jpeg,2026-04-26 00:59:41
03,arka,duzeltilmis_resimler/urun-03-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.43 AM.jpeg,2026-04-26 00:59:43
04,on,duzeltilmis_resimler/urun-04-on.jpg,WhatsApp Image 2026-04-26 at 12.59.45 AM.jpeg,2026-04-26 00:59:45
04,arka,duzeltilmis_resimler/urun-04-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.47 AM.jpeg,2026-04-26 00:59:47
05,on,duzeltilmis_resimler/urun-05-on.jpg,WhatsApp Image 2026-04-26 at 12.59.49 AM.jpeg,2026-04-26 00:59:49
05,arka,duzeltilmis_resimler/urun-05-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.50 AM.jpeg,2026-04-26 00:59:50
06,on,duzeltilmis_resimler/urun-06-on.jpg,WhatsApp Image 2026-04-26 at 12.59.52 AM.jpeg,2026-04-26 00:59:52
06,arka,duzeltilmis_resimler/urun-06-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.54 AM.jpeg,2026-04-26 00:59:54
07,on,duzeltilmis_resimler/urun-07-on.jpg,WhatsApp Image 2026-04-26 at 12.59.56 AM.jpeg,2026-04-26 00:59:56
07,arka,duzeltilmis_resimler/urun-07-arka.jpg,WhatsApp Image 2026-04-26 at 12.59.57 AM.jpeg,2026-04-26 00:59:57
08,on,duzeltilmis_resimler/urun-08-on.jpg,WhatsApp Image 2026-04-26 at 12.59.59 AM.jpeg,2026-04-26 00:59:59
08,arka,duzeltilmis_resimler/urun-08-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.00 AM.jpeg,2026-04-26 01:00:00
09,on,duzeltilmis_resimler/urun-09-on.jpg,WhatsApp Image 2026-04-26 at 1.00.02 AM.jpeg,2026-04-26 01:00:02
09,arka,duzeltilmis_resimler/urun-09-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.03 AM.jpeg,2026-04-26 01:00:03
10,on,duzeltilmis_resimler/urun-10-on.jpg,WhatsApp Image 2026-04-26 at 1.00.05 AM.jpeg,2026-04-26 01:00:05
10,arka,duzeltilmis_resimler/urun-10-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.07 AM.jpeg,2026-04-26 01:00:07
11,on,duzeltilmis_resimler/urun-11-on.jpg,WhatsApp Image 2026-04-26 at 1.00.09 AM.jpeg,2026-04-26 01:00:09
11,arka,duzeltilmis_resimler/urun-11-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.10 AM.jpeg,2026-04-26 01:00:10
12,on,duzeltilmis_resimler/urun-12-on.jpg,WhatsApp Image 2026-04-26 at 1.00.12 AM.jpeg,2026-04-26 01:00:12
12,arka,duzeltilmis_resimler/urun-12-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.14 AM.jpeg,2026-04-26 01:00:14
13,on,duzeltilmis_resimler/urun-13-on.jpg,WhatsApp Image 2026-04-26 at 1.00.15 AM.jpeg,2026-04-26 01:00:15
13,arka,duzeltilmis_resimler/urun-13-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.18 AM.jpeg,2026-04-26 01:00:18
14,on,duzeltilmis_resimler/urun-14-on.jpg,WhatsApp Image 2026-04-26 at 1.00.20 AM.jpeg,2026-04-26 01:00:20
14,arka,duzeltilmis_resimler/urun-14-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.21 AM.jpeg,2026-04-26 01:00:21
15,on,duzeltilmis_resimler/urun-15-on.jpg,WhatsApp Image 2026-04-26 at 1.00.23 AM.jpeg,2026-04-26 01:00:23
15,arka,duzeltilmis_resimler/urun-15-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.25 AM.jpeg,2026-04-26 01:00:25
16,on,duzeltilmis_resimler/urun-16-on.jpg,WhatsApp Image 2026-04-26 at 1.00.26 AM.jpeg,2026-04-26 01:00:26
16,arka,duzeltilmis_resimler/urun-16-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.28 AM.jpeg,2026-04-26 01:00:28
17,on,duzeltilmis_resimler/urun-17-on.jpg,WhatsApp Image 2026-04-26 at 1.00.30 AM.jpeg,2026-04-26 01:00:30
17,arka,duzeltilmis_resimler/urun-17-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.32 AM.jpeg,2026-04-26 01:00:32
18,on,duzeltilmis_resimler/urun-18-on.jpg,WhatsApp Image 2026-04-26 at 1.00.34 AM.jpeg,2026-04-26 01:00:34
18,arka,duzeltilmis_resimler/urun-18-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.36 AM.jpeg,2026-04-26 01:00:36
