no,brand,photo_product,type,status,inventory_code,inventory_name,stock,score,other_candidates
01,Yüksel Tohum,Gülpembe F1,Domates,match,TŞ00057,GÜLPEMBE DOMATES TOHUMU,40.944,4,TŞ00057 GÜLPEMBE DOMATES TOHUMU (40.944); TŞ00217 PEMBEKÖY DOMATES TOHUMU (200); TŞ00217 PEMBEKÖY DOMATES TOHUMU (200)
02,Rijk Zwaan,Rougina,Domates,match,TŞ00455,ROUGINA RZ F1 (74-511) DOMATES TOHUMU,284.613,4,TŞ00546 UG 464913 DOMATES TOHUMU (73.422); TŞ00546 UG 464913 DOMATES TOHUMU (73.422); TŞ00950 192868 DOMATES TOHUMU (500)
03,Seraseed,RYSD 3016 F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
04,Eastern Seeds,Bambu F1,Domates,match,TŞ00643,BAMBUS DOMATES TOHUMU,3.351,4,TŞ00643 BAMBUS DOMATES TOHUMU (3.351); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500)
05,GHS Seeds,Ekinaz F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
06,Hazera,HTP Tomatoes 10-686 SH F1,Domates,match,TŞ00872,SHERVİNA DOMATES TOHUMU,7.000,3,TŞ00872 SHERVİNA DOMATES TOHUMU (7.000); TY00587 TTK 10  BİBER TOHUMU (1.000); TŞ00168 İSHAKBEY KAVUN TOHUMU (17.664)
07,BASF / Nunhems,Kanyon,Biber,match,TŞ00373,KANYON BİBER TOHUMU,48.345,4,TŞ00923 721 TREND BİBER TOHUMU (2.948); TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00980 ABK BİBER TOHUMU (1.000)
08,Nunhems,Serenad,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
09,Multi Seeds,Şenol,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
10,Genetika,21CK501 (Fülika) F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
